gsis_id,name,position,team,owner_name,is_starter,is_taxi,is_ir,sleeper_id,roster_fetched_at,age,years_exp,injury_status,nfl_status,draft_number,rookie_year,games,avg_opps,avg_targets,avg_carries,avg_snap_pct,avg_fpts,trend_opps,trend_snap,trend_season,baseline_source,trail_pts,season,week,source,pulled_at,proj_pass_att,proj_pass_yds,proj_pass_tds,proj_pass_int,proj_carries,proj_rush_yds,proj_rush_tds,proj_targets,proj_rec,proj_rec_yds,proj_rec_tds,proj_pts_ppr,proj_pts_half,proj_pts_std,proj_opps,proj_carry_share,proj_target_share,proj_pts_league,w_proj,E_opps,E_targets,E_carries,opponent,total_line,home,dvp_rank,mult,E_pts,pts_mix,depth_rank,prev_rank,confidence,conf,flag,why,peak_snap_3g,peak_opps_3g,role_games,role_opps,role_snap,ceiling_pts,median_pts
00-0033119,Jacoby Brissett,QB,ARI,ohsobenji,0,0,0,3257,2026-09-22T22:24:22Z,33.8,10,,ACT,91.0,2016,2.0,3.303571428571429,0.0,3.303571428571429,0.9642857142857143,12.678928571428571,-5.0,-0.0,current,75% current / 25% prior,13.533333333333333,2026,3,sleeper,2026-09-22T22:24:23Z,34.6,228.09,1.12,0.29,2.95,11.01,0.07,,,,,14.65,14.65,14.65,2.95,0.126,,14.83,0.5,3.1,0.0,3.1,SF,47.5,0,28.0,0.918,13.0,50% projection,1.0,1.0,0.89,High,,"3.1 exp opps (proj 3, recent 3) · QB1 · vs SF (DvP 28, -8%) · High confidence",1.0,5.0,14.0,3.1,0.996,24.3,19.6
00-0039732,Bo Nix,QB,DEN,MrMasculinity,1,0,0,11563,2026-09-22T22:24:22Z,26.6,2,,ACT,12.0,2024,2.0,4.235294117647059,0.014705882352941176,4.220588235294118,0.9991176470588236,11.817941176470587,2.0,-0.0,current,75% current / 25% prior,10.699999999999998,2026,3,sleeper,2026-09-22T22:24:23Z,34.28,232.34,1.24,0.89,4.48,20.06,0.16,,,,,16.14,16.14,16.14,4.48,0.17,,16.33,0.5,4.4,0.0,4.4,LA,45.5,1,27.0,0.925,12.5,50% projection,1.0,1.0,0.95,High,,"4.4 exp opps (proj 4, recent 4) · QB1 · vs LA (DvP 27, -7%) · High confidence",1.0,7.0,19.0,4.8,0.997,29.2,17.9
00-0035710,Daniel Jones,QB,IND,tmag85,0,0,0,5870,2026-09-22T22:24:22Z,29.3,7,,ACT,6.0,2019,2.0,2.3653846153846154,0.0,2.3653846153846154,0.9786538461538461,12.019615384615385,2.0,-0.0,current,75% current / 25% prior,8.08,2026,3,sleeper,2026-09-22T22:24:23Z,30.29,212.6,0.88,0.79,3.48,13.71,0.11,,,,,13.06,13.06,13.06,3.48,0.127,,13.26,0.5,2.9,0.0,2.9,HOU,43.5,1,5.0,1.09,11.6,50% projection,1.0,1.0,0.68,Med,,"2.9 exp opps (proj 3, recent 2) · QB1 · vs HOU (DvP 5, +9%) · Med confidence",1.0,5.667,14.0,3.4,0.976,24.3,16.7
00-0041562,Fernando Mendoza,QB,LV,NegativeSquash,0,0,0,13269,2026-09-22T22:24:22Z,23.0,0,,ACT,1.0,2026,,,,,,,,,,,,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,NO,43.5,0,20.0,0.978,0.0,projection only,2.0,2.0,0.48,Med,,"0.0 exp opps (proj 0) · QB2 · vs NO (DvP 20, -2%) · Med confidence",,,,,,,
00-0040668,Shedeur Sanders,QB,CLE,NegativeSquash,0,0,0,12524,2026-09-22T22:24:22Z,24.6,1,,ACT,144.0,2025,0.0,2.625,0.0,2.625,0.91625,10.612499999999999,0.27381,0.0475,prior,prior season only,9.886666666666667,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,CAR,42.5,1,15.0,1.015,0.0,projection only,2.0,2.0,0.0,Low,,"0.0 exp opps (proj 0, recent 3) · QB2 · vs CAR (DvP 15, +1%) · Low confidence",0.993,3.667,8.0,2.6,0.916,20.2,10.9
00-0035228,Kyler Murray,QB,MIN,NegativeSquash,0,0,0,5849,2026-09-22T22:24:22Z,29.1,7,Out,ACT,1.0,2019,1.0,2.95,0.0,2.95,0.37449999999999994,3.604,0.0,0.0,current,75% current / 25% prior,11.340000000000002,2026,3,sleeper,2026-09-22T22:24:23Z,30.45,211.77,1.15,0.4,5.94,29.0,0.2,,,,,16.59,16.59,16.59,5.94,0.214,,16.77,0.75,5.2,0.0,5.2,TB,42.5,0,13.0,1.03,,75% projection,1.0,1.0,0.0,Low,OUT,"5.2 exp opps (proj 6, recent 3) · QB1 · vs TB (DvP 13, +3%) · Low confidence · OUT",0.993,6.667,5.0,5.8,0.988,18.2,15.2
00-0039918,Caleb Williams,QB,CHI,Taylor894,1,0,0,11560,2026-09-22T22:24:22Z,24.8,2,Out,ACT,1.0,2024,2.0,6.786764705882353,0.029411764705882353,6.757352941176471,0.9451470588235295,21.553970588235295,-5.0,-0.14,current,75% current / 25% prior,21.186666666666664,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,,,,,,,,,,,0.0,,,0.0,0.5,3.4,0.0,3.4,PHI,41.5,1,10.0,1.052,,50% projection,1.0,1.0,0.0,Low,OUT,"3.4 exp opps (proj 0, recent 7) · QB1 · vs PHI (DvP 10, +5%) · Low confidence · OUT",1.0,6.333,19.0,4.9,0.984,30.7,19.0
00-0041565,Drew Allar,QB,PIT,ohsobenji,0,1,0,13289,2026-09-22T22:24:22Z,22.5,0,Out,ACT,76.0,2026,,,,,,,,,,,,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,CIN,42.5,1,19.0,0.985,,projection only,4.0,4.0,0.0,Low,OUT,"0.0 exp opps (proj 0) · QB4 · vs CIN (DvP 19, -2%) · Low confidence · OUT",,,,,,,
00-0041561,Carson Beck,QB,ARI,MrMasculinity,0,1,0,13272,2026-09-22T22:24:22Z,24.8,0,Out,ACT,65.0,2026,,,,,,,,,,,,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,SF,47.5,0,28.0,0.918,,projection only,3.0,3.0,0.0,Low,OUT,"0.0 exp opps (proj 0) · QB3 · vs SF (DvP 28, -8%) · Low confidence · OUT",,,,,,,
00-0039910,Jayden Daniels,QB,WAS,jakelotwin,0,0,0,11566,2026-09-22T22:24:22Z,25.8,2,Out,ACT,2.0,2024,2.0,6.571428571428571,0.0,6.571428571428571,0.8069642857142858,16.23142857142857,2.0,-0.45,current,75% current / 25% prior,12.04,2026,3,sleeper,2026-09-22T22:24:23Z,,,,,,,,,,,,,,,0.0,,,0.0,0.5,3.3,0.0,3.3,SEA,40.5,1,32.0,0.888,,50% projection,1.0,1.0,0.0,Low,OUT,"3.3 exp opps (proj 0, recent 7) · QB1 · vs SEA (DvP 32, -11%) · Low confidence · OUT",1.0,9.333,9.0,7.8,0.874,20.6,17.7
