gsis_id,name,position,team,sleeper_id,age,years_exp,injury_status,nfl_status,draft_number,rookie_year,games,avg_opps,avg_targets,avg_carries,avg_snap_pct,avg_fpts,trend_opps,trend_snap,trend_season,baseline_source,trail_pts,season,week,source,pulled_at,proj_pass_att,proj_pass_yds,proj_pass_tds,proj_pass_int,proj_carries,proj_rush_yds,proj_rush_tds,proj_targets,proj_rec,proj_rec_yds,proj_rec_tds,proj_pts_ppr,proj_pts_half,proj_pts_std,proj_opps,proj_carry_share,proj_target_share,proj_pts_league,w_proj,E_opps,E_targets,E_carries,opponent,total_line,home,dvp_rank,mult,E_pts,pts_mix,depth_rank,prev_rank,confidence,conf,flag,why,peak_snap_3g,peak_opps_3g,role_games,role_opps,role_snap,ceiling_pts,median_pts,trending_add
00-0038040,Zamir White,RB,NO,8139,27.0,4,,DEV,122.0,2022,0.0,3.6,1.2,2.4,0.19,1.92,-0.6,-0.033,prior,prior season only,1.8333333333333333,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,LV,43.5,1,21.0,0.97,0.0,projection only,,,0.0,Low,,"0.0 exp opps (proj 0, recent 4) · vs LV (DvP 21, -3%) · Low confidence",0.26,5.0,0.0,,,3.3,2.0,0
00-0038098,Pierre Strong,RB,GB,8116,27.8,4,Questionable,DEV,127.0,2022,,,,,,,,,,,,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,ATL,42.5,1,26.0,0.932,0.0,projection only,,,0.25,Low,QUESTIONABLE,"0.0 exp opps (proj 0) · vs ATL (DvP 26, -7%) · Low confidence · QUESTIONABLE",,,,,,,,0
00-0037745,Velus Jones Jr.,RB,SEA,8223,29.4,4,,DEV,71.0,2022,0.0,0.8,0.0,0.8,0.026000000000000002,0.64,0.8,0.022,prior,prior season only,1.0666666666666667,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,WAS,40.5,0,32.0,0.888,0.0,projection only,,,0.12,Low,,"0.0 exp opps (proj 0, recent 1) · vs WAS (DvP 32, -11%) · Low confidence",0.043,1.333,0.0,,,1.9,0.0,0
00-0038489,Ben VanSumeren,RB,KC,11273,26.4,3,,ACT,,2023,1.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,current,75% current / 25% prior,0.0,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,0.75,0.0,0.0,0.0,MIA,46.5,0,3.0,1.105,0.0,75% projection,,,0.6,Med,,"0.0 exp opps (proj 0, recent 0) · vs MIA (DvP 3, +10%) · Med confidence",0.04,0.0,0.0,,,0.0,0.0,0
00-0038396,Eric Gray,RB,CLE,10223,26.9,3,,DEV,172.0,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prior,prior season only,0.0,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,CAR,42.5,1,1.0,1.12,0.0,projection only,,,0.6,Med,,"0.0 exp opps (proj 0, recent 0) · vs CAR (DvP 1, +12%) · Med confidence",0.0,0.0,0.0,,,0.0,0.0,0
00-0038397,Evan Hull,RB,ARI,9220,25.9,3,,DEV,176.0,2023,0.0,3.3333333333333335,0.16666666666666666,3.1666666666666665,0.19166666666666665,1.0666666666666667,-0.4,-0.004857,prior,prior season only,0.5666666666666668,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,SF,47.5,0,14.0,1.022,0.0,projection only,,,0.0,Low,,"0.0 exp opps (proj 0, recent 3) · vs SF (DvP 14, +2%) · Low confidence",0.243,3.667,0.0,,,1.8,1.1,0
00-0038409,Lew Nichols III,RB,PIT,9510,25.1,3,,DEV,235.0,2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,prior,prior season only,0.0,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,CIN,42.5,1,16.0,1.008,0.0,projection only,,,0.6,Med,,"0.0 exp opps (proj 0, recent 0) · vs CIN (DvP 16, +1%) · Med confidence",0.0,0.0,0.0,,,0.0,0.0,0
00-0038440,Zavier Scott,RB,CHI,11299,27.2,3,,DEV,,2023,0.0,4.363636363636363,1.4545454545454546,2.909090909090909,0.1481818181818182,3.563636363636364,-0.663636,-0.025,prior,prior season only,1.6333333333333335,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,PHI,41.5,1,19.0,0.985,0.0,projection only,,,0.0,Low,,"0.0 exp opps (proj 0, recent 4) · vs PHI (DvP 19, -2%) · Low confidence",0.293,8.0,0.0,,,6.0,2.7,0
00-0038389,Israel Abanikanda,RB,DAL,9227,24.0,3,,DEV,143.0,2023,,,,,,,,,,,,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,BAL,52.5,1,15.0,1.015,0.0,projection only,,,0.36,Low,,"0.0 exp opps (proj 0) · vs BAL (DvP 15, +1%) · Low confidence",,,,,,,,0
00-0038930,Carlos Washington,RB,MIA,11186,27.7,3,,DEV,,2023,,,,,,,,,,,,2026.0,3.0,sleeper,2026-09-24T15:19:08Z,,,,,,,,,,,,,,,0.0,,,0.0,1.0,0.0,0.0,0.0,KC,46.5,1,18.0,0.992,0.0,projection only,,,0.36,Low,,"0.0 exp opps (proj 0) · vs KC (DvP 18, -1%) · Low confidence",,,,,,,,0
