season,week,gsis_id,source,pulled_at,team,position,proj_pass_att,proj_pass_yds,proj_pass_tds,proj_pass_int,proj_carries,proj_rush_yds,proj_rush_tds,proj_targets,proj_rec,proj_rec_yds,proj_rec_tds,proj_pts_ppr,proj_pts_half,proj_pts_std,proj_opps,proj_carry_share,proj_target_share
2026,1,00-0040194,sleeper,2026-09-12T17:31:48Z,BUF,TE,,,,,,,,1.16,0.87,7.76,0.06,2.0,1.56,1.12,1.16,,0.039
2026,1,00-0040198,sleeper,2026-09-12T17:31:48Z,MIA,RB,,,,,2.4,6.88,0.08,0.76,0.66,3.9,0.03,2.43,2.1,1.77,3.16,0.083,0.029
2026,1,00-0040202,sleeper,2026-09-12T17:31:48Z,NO,RB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040203,sleeper,2026-09-12T17:31:48Z,PIT,QB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040205,sleeper,2026-09-12T17:31:48Z,TEN,RB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040206,sleeper,2026-09-12T17:31:48Z,IND,QB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040208,sleeper,2026-09-12T17:31:48Z,CIN,RB,,,,,1.22,3.72,0.05,0.32,0.26,1.84,0.02,1.2,1.07,0.94,1.54,0.053,0.009
2026,1,00-0040211,sleeper,2026-09-12T17:31:48Z,HOU,QB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040215,sleeper,2026-09-12T17:31:48Z,MIN,TE,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040218,sleeper,2026-09-12T17:31:48Z,CAR,WR,,,,,0.4,2.54,0.01,0.64,0.45,4.61,0.04,1.47,1.24,1.02,1.04,0.015,0.021
2026,1,00-0040222,sleeper,2026-09-12T17:31:48Z,MIA,QB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040225,sleeper,2026-09-12T17:31:48Z,NYG,TE,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040234,sleeper,2026-09-12T17:31:48Z,JAX,QB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040236,sleeper,2026-09-12T17:31:48Z,CHI,RB,,,,,7.15,33.61,0.26,1.55,1.12,8.62,0.06,7.27,6.71,6.15,8.700000000000001,0.271,0.047
2026,1,00-0040237,sleeper,2026-09-12T17:31:48Z,TB,WR,,,,,0.09,0.43,0.0,2.73,1.65,22.56,0.23,5.35,4.53,3.7,2.82,0.003,0.091
2026,1,00-0040238,sleeper,2026-09-12T17:31:48Z,JAX,RB,,,,,1.31,4.96,0.03,1.25,1.05,5.96,0.07,2.73,2.2,1.68,2.56,0.046,0.04
2026,1,00-0040239,sleeper,2026-09-12T17:31:48Z,GB,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040240,sleeper,2026-09-12T17:31:48Z,DEN,TE,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040241,sleeper,2026-09-12T17:31:48Z,DET,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040242,sleeper,2026-09-12T17:31:48Z,WAS,RB,,,,,9.06,37.96,0.36,2.72,1.84,13.99,0.1,9.78,8.86,7.94,11.78,0.347,0.087
2026,1,00-0040244,sleeper,2026-09-12T17:31:48Z,NO,TE,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040247,sleeper,2026-09-12T17:31:48Z,NYJ,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040259,sleeper,2026-09-12T17:31:48Z,CLE,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040260,sleeper,2026-09-12T17:31:48Z,CAR,RB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040265,sleeper,2026-09-12T17:31:48Z,CAR,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040275,sleeper,2026-09-12T17:31:48Z,CHI,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040277,sleeper,2026-09-12T17:31:48Z,CHI,WR,,,,,,,,1.23,0.69,9.37,0.06,2.0,1.66,1.31,1.23,,0.037
2026,1,00-0040298,sleeper,2026-09-12T17:31:48Z,KC,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040311,sleeper,2026-09-12T17:31:48Z,LAC,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040317,sleeper,2026-09-12T17:31:48Z,WAS,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040331,sleeper,2026-09-12T17:31:48Z,LAC,TE,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040332,sleeper,2026-09-12T17:31:48Z,PHI,RB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040337,sleeper,2026-09-12T17:31:48Z,IND,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040352,sleeper,2026-09-12T17:31:48Z,IND,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040361,sleeper,2026-09-12T17:31:48Z,BUF,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040363,sleeper,2026-09-12T17:31:48Z,BUF,TE,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040375,sleeper,2026-09-12T17:31:48Z,CIN,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040388,sleeper,2026-09-12T17:31:48Z,PIT,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040390,sleeper,2026-09-12T17:31:48Z,DET,TE,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040394,sleeper,2026-09-12T17:31:48Z,CAR,RB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040398,sleeper,2026-09-12T17:31:48Z,MIA,QB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040400,sleeper,2026-09-12T17:31:48Z,MIA,RB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040405,sleeper,2026-09-12T17:31:48Z,NYJ,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040419,sleeper,2026-09-12T17:31:48Z,TB,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040429,sleeper,2026-09-12T17:31:48Z,TB,RB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040431,sleeper,2026-09-12T17:31:48Z,NYG,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040432,sleeper,2026-09-12T17:31:48Z,ATL,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040438,sleeper,2026-09-12T17:31:48Z,ATL,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040445,sleeper,2026-09-12T17:31:48Z,TEN,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040464,sleeper,2026-09-12T17:31:48Z,LAC,QB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040466,sleeper,2026-09-12T17:31:48Z,CLE,RB,,,,,0.16,0.55,0.0,0.03,0.02,0.13,0.0,0.11,0.1,0.09,0.19,0.007,0.001
2026,1,00-0040476,sleeper,2026-09-12T17:31:48Z,IND,RB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040488,sleeper,2026-09-12T17:31:48Z,LV,TE,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040494,sleeper,2026-09-12T17:31:48Z,MIN,QB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040498,sleeper,2026-09-12T17:31:48Z,MIN,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040504,sleeper,2026-09-09T23:25:38Z,MIN,TE,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040506,sleeper,2026-09-12T17:31:48Z,MIN,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040509,sleeper,2026-09-12T17:31:48Z,MIN,TE,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040522,sleeper,2026-09-12T17:31:48Z,TEN,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040526,sleeper,2026-09-12T17:31:48Z,ARI,RB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040531,sleeper,2026-09-12T17:31:48Z,CAR,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040534,sleeper,2026-09-12T17:31:48Z,CIN,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040547,sleeper,2026-09-12T17:31:48Z,KC,RB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040551,sleeper,2026-09-12T17:31:48Z,WAS,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040552,sleeper,2026-09-12T17:31:48Z,WAS,TE,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040553,sleeper,2026-09-12T17:31:48Z,NYJ,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040556,sleeper,2026-09-12T17:31:48Z,NE,RB,,,,,2.47,11.74,0.08,0.54,0.4,3.08,0.03,2.51,2.31,2.11,3.01,0.097,0.018
2026,1,00-0040558,sleeper,2026-09-12T17:31:48Z,GB,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040563,sleeper,2026-09-12T17:31:48Z,NE,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040566,sleeper,2026-09-12T17:31:48Z,TB,TE,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040568,sleeper,2026-09-12T17:31:48Z,NE,RB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040570,sleeper,2026-09-12T17:31:48Z,NE,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040581,sleeper,2026-09-12T17:31:48Z,LV,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040582,sleeper,2026-09-12T17:31:48Z,NYJ,WR,,,,,0.07,0.3,0.0,0.2,0.11,1.3,0.01,0.36,0.31,0.25,0.27,0.003,0.007
2026,1,00-0040583,sleeper,2026-09-12T17:31:48Z,HOU,RB,,,,,9.03,39.49,0.33,1.92,1.41,10.32,0.09,8.84,8.14,7.44,10.95,0.335,0.061
2026,1,00-0040584,sleeper,2026-09-12T17:31:48Z,TEN,TE,,,,,,,,3.89,3.04,29.64,0.27,7.63,6.11,4.59,3.89,,0.117
2026,1,00-0040586,sleeper,2026-09-12T17:31:48Z,PHI,RB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040589,sleeper,2026-09-12T17:31:48Z,SF,QB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040590,sleeper,2026-09-12T17:31:48Z,LA,WR,,,,,0.04,0.19,0.0,1.3,0.68,6.69,0.07,1.83,1.49,1.15,1.34,0.001,0.042
2026,1,00-0040597,sleeper,2026-09-12T17:31:48Z,LA,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040598,sleeper,2026-09-12T17:31:48Z,GB,TE,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040617,sleeper,2026-09-12T17:31:48Z,CLE,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040621,sleeper,2026-09-12T17:31:48Z,SEA,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040628,sleeper,2026-09-12T17:31:48Z,GB,TE,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040629,sleeper,2026-09-12T17:31:48Z,LAC,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040633,sleeper,2026-09-12T17:31:48Z,NO,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040644,sleeper,2026-09-12T17:31:48Z,CAR,RB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040646,sleeper,2026-09-12T17:31:48Z,KC,WR,,,,,0.04,0.17,0.0,1.05,0.46,5.91,0.03,1.29,1.06,0.83,1.09,0.002,0.033
2026,1,00-0040648,sleeper,2026-09-12T17:31:48Z,SEA,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040649,sleeper,2026-09-12T17:31:48Z,SEA,RB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040651,sleeper,2026-09-12T17:31:48Z,GB,RB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040653,sleeper,2026-09-12T17:31:48Z,SEA,WR,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040656,sleeper,2026-09-12T17:31:48Z,NO,QB,,,,,,,,,,,,,,,0.0,,
2026,1,00-0040663,sleeper,2026-09-12T17:31:48Z,CLE,TE,,,,,0.2,0.65,0.01,6.5,4.31,41.71,0.32,10.54,8.39,6.23,6.7,0.008,0.226
2026,1,00-0040666,sleeper,2026-09-12T17:31:48Z,LAC,RB,,,,,14.58,73.52,0.43,3.97,3.6,20.72,0.07,16.0,14.2,12.4,18.55,0.526,0.128
