gsis_id,name,team,position,espn_rank,sleeper_rank,depth_disagreement,status_flag,play_prob,injury_body_part,practice,news_age_hours,n_blockers,blockers_out,opportunity_ahead,blocked_by
00-0040727,Tre' Harris,LAC,WR,3,3.0,0.0,healthy,0.97,,,61.1,2,0,0.013,Ladd McConkey (healthy); Quentin Johnston (healthy)
00-0041550,Brenen Thompson,LAC,WR,4,4.0,0.0,questionable,0.72,Hip,,16.1,3,0,0.018,Ladd McConkey (healthy); Quentin Johnston (healthy); Tre' Harris (healthy)
00-0034272,Marquez Valdes-Scantling,LAC,WR,5,6.0,1.0,healthy,0.97,,,14.4,4,0,0.031,Ladd McConkey (healthy); Quentin Johnston (healthy); Tre' Harris (healthy); Brenen Thompson (questionable)
00-0038573,Derius Davis,LAC,WR,6,5.0,1.0,healthy,0.97,,,183.3,5,0,0.032,Ladd McConkey (healthy); Quentin Johnston (healthy); Tre' Harris (healthy); Brenen Thompson (questionable); Marquez Valdes-Scantling (healthy)
00-0040184,KeAndre Lambert-Smith,LAC,WR,7,8.0,1.0,ir,0.02,Hamstring,,207.6,6,0,0.033,Ladd McConkey (healthy); Quentin Johnston (healthy); Tre' Harris (healthy); Brenen Thompson (questionable); Marquez Valdes-Scantling (healthy); Derius Davis (healthy)
00-0029604,Kirk Cousins,LV,QB,1,1.0,0.0,healthy,0.97,,,37.3,0,0,0.0,nobody
00-0041562,Fernando Mendoza,LV,QB,2,3.0,1.0,healthy,0.97,,,62.3,1,0,0.0,Kirk Cousins (healthy)
00-0038579,Aidan O'Connell,LV,QB,3,2.0,1.0,questionable,0.72,Personal,,113.6,2,0,0.0,Kirk Cousins (healthy); Fernando Mendoza (healthy)
00-0040122,Ashton Jeanty,LV,RB,1,1.0,0.0,healthy,0.97,,,74.7,0,0,0.0,nobody
00-0040878,Mike Washington Jr.,LV,RB,2,2.0,0.0,healthy,0.97,,,68.1,1,0,0.021,Ashton Jeanty (healthy)
00-0039407,Dylan Laube,LV,RB,3,4.0,1.0,healthy,0.97,,,229.4,2,0,0.025,Ashton Jeanty (healthy); Mike Washington Jr. (healthy)
