season,week,snapshot_dt,team,position,rank,gsis_id,name,prev_rank
2026,1,2026-09-12T11:36:06Z,GB,TE,4,00-0040598,Mark Redman,4.0
2026,1,2026-09-12T11:36:06Z,GB,TE,5,00-0039144,Luke Musgrave,5.0
2026,1,2026-09-12T11:36:06Z,GB,TE,6,00-0039936,Thomas Yassmin,6.0
2026,1,2026-09-12T11:36:06Z,GB,WR,1,00-0038124,Christian Watson,1.0
2026,1,2026-09-12T11:36:06Z,GB,WR,2,00-0039146,Jayden Reed,2.0
2026,1,2026-09-12T11:36:06Z,GB,WR,3,00-0040667,Matthew Golden,3.0
2026,1,2026-09-12T11:36:06Z,GB,WR,4,00-0038090,Skyy Moore,5.0
2026,1,2026-09-12T11:36:06Z,GB,WR,5,00-0040948,J. Michael Sturdivant,6.0
2026,1,2026-09-12T11:36:06Z,GB,WR,6,00-0040009,Savion Williams,7.0
2026,1,2026-09-11T12:21:50Z,GB,WR,7,00-0040009,Savion Williams,7.0
2026,1,2026-09-12T11:36:06Z,HOU,QB,1,00-0039163,C.J. Stroud,1.0
2026,1,2026-09-12T11:36:06Z,HOU,QB,2,00-0036898,Davis Mills,2.0
2026,1,2026-09-12T11:36:06Z,HOU,QB,3,00-0040211,Graham Mertz,3.0
2026,1,2026-09-12T11:36:06Z,HOU,RB,1,00-0035685,David Montgomery,1.0
2026,1,2026-09-12T11:36:06Z,HOU,RB,2,00-0040583,Woody Marks,2.0
2026,1,2026-09-12T11:36:06Z,HOU,RB,3,00-0039603,British Brooks,3.0
2026,1,2026-09-12T11:36:06Z,HOU,TE,1,00-0034383,Dalton Schultz,1.0
2026,1,2026-09-12T11:36:06Z,HOU,TE,2,00-0034981,Foster Moreau,2.0
2026,1,2026-09-12T11:36:06Z,HOU,TE,3,00-0041472,Marlin Klein,3.0
2026,1,2026-09-12T11:36:06Z,HOU,TE,4,00-0039359,Cade Stover,4.0
2026,1,2026-09-12T11:36:06Z,HOU,TE,5,00-0036556,Brevin Jordan,5.0
2026,1,2026-09-12T11:36:06Z,HOU,WR,1,00-0036554,Nico Collins,1.0
2026,1,2026-09-12T11:36:06Z,HOU,WR,2,00-0038608,Kayshon Boutte,2.0
2026,1,2026-09-12T11:36:06Z,HOU,WR,3,00-0038618,Xavier Hutchinson,3.0
2026,1,2026-09-12T11:36:06Z,HOU,WR,4,00-0040138,Jaylin Noel,4.0
2026,1,2026-09-12T11:36:06Z,HOU,WR,5,00-0038728,Jared Wayne,5.0
2026,1,2026-09-12T11:36:06Z,HOU,WR,6,00-0038977,Tank Dell,6.0
2026,1,2026-09-12T11:36:06Z,HOU,WR,7,00-0040130,Jayden Higgins,7.0
2026,1,2026-09-12T11:36:06Z,IND,QB,1,00-0035710,Daniel Jones,1.0
2026,1,2026-09-12T11:36:06Z,IND,QB,2,00-0039164,Anthony Richardson Sr.,2.0
2026,1,2026-09-12T11:36:06Z,IND,QB,3,00-0040206,Riley Leonard,3.0
2026,1,2026-09-12T11:36:06Z,IND,RB,1,00-0036223,Jonathan Taylor,1.0
2026,1,2026-09-12T11:36:06Z,IND,RB,2,00-0041125,Seth McGowan,2.0
2026,1,2026-09-12T11:36:06Z,IND,RB,3,00-0040179,DJ Giddens,3.0
2026,1,2026-09-12T11:36:06Z,IND,TE,1,00-0040128,Tyler Warren,1.0
2026,1,2026-09-12T11:36:06Z,IND,TE,2,00-0033217,Mo Alie-Cox,2.0
